主播ID,主播等级,是否化妆,化妆开始时间,直播开始时间,直播结束时间,直播间编号,预估当日收益
164,高级,否,,19:00,01:30,10,473.37
165,高级,是,08:10,13:10,19:40,1,520.71
166,高级,否,,16:30,23:00,61,502.96
167,高级,是,15:50,20:50,03:20,47,502.96
168,高级,是,07:30,13:10,19:40,25,520.71
169,高级,是,11:10,16:00,22:30,12,603.55
170,高级,否,,14:20,20:50,43,468.44
171,高级,否,,19:40,02:10,12,453.65
172,高级,是,14:00,18:30,01:00,42,585.8
173,高级,是,10:00,11:00,17:30,51,461.54
174,高级,否,,08:10,14:40,56,384.62
175,高级,是,16:00,21:10,03:40,7,491.12
176,高级,否,,10:20,16:50,32,384.62
177,高级,是,13:40,16:10,22:40,41,603.55
178,高级,否,,08:00,14:30,25,384.62
179,高级,是,11:30,13:00,19:30,13,514.79
180,高级,是,12:40,13:20,19:50,46,526.63
181,高级,是,07:20,08:00,14:30,70,461.54
182,高级,否,,19:00,01:30,31,473.37
183,高级,是,10:00,14:30,21:00,7,568.05
184,高级,是,12:40,14:00,20:30,42,550.3
185,高级,是,14:00,19:10,01:40,71,562.13
186,高级,是,13:40,19:10,01:40,69,562.13
187,高级,是,14:50,19:10,01:40,46,562.13
188,高级,是,11:10,15:30,22:00,38,603.55
189,高级,是,10:10,14:40,21:10,31,573.96
190,高级,否,,14:40,21:10,54,478.3
191,高级,否,,10:10,16:40,59,384.62
192,高级,是,11:10,12:20,18:50,29,491.12
193,高级,否,,15:40,22:10,48,502.96
194,高级,是,10:10,11:10,17:40,8,461.54
195,高级,是,13:00,15:00,21:30,26,585.8
196,高级,否,,19:40,02:10,70,453.65
197,高级,是,07:00,10:40,17:10,64,461.54
198,高级,是,13:00,17:40,00:10,43,603.55
199,高级,否,,20:00,02:30,16,443.79
200,高级,否,,18:40,01:10,74,483.23
201,高级,否,,08:00,14:30,58,384.62
202,高级,是,13:40,14:40,21:10,49,573.96
203,高级,是,07:00,08:00,14:30,42,461.54
204,高级,否,,08:20,14:50,43,384.62
205,高级,是,14:00,14:40,21:10,45,573.96
206,高级,否,,20:00,02:30,22,443.79
207,高级,是,09:40,15:20,21:50,63,597.63
208,高级,否,,20:30,03:00,59,428.99
209,高级,是,15:50,17:30,00:00,33,603.55
210,高级,是,10:10,15:30,22:00,71,603.55
211,高级,是,09:30,11:20,17:50,12,461.54
