化妆师,主播编号,化妆开始时间,化妆结束时间,直播开始时间,直播结束时间
无,主播113,无,无,18:30,01:00
无,主播114,无,无,19:00,01:30
无,主播115,无,无,19:30,02:00
无,主播116,无,无,20:00,02:30
无,主播117,无,无,20:30,03:00
无,主播118,无,无,21:00,03:30
无,主播119,无,无,21:30,04:00
无,主播120,无,无,22:00,04:30
无,主播121,无,无,22:30,05:00
无,主播122,无,无,23:00,05:30
无,主播123,无,无,23:30,06:00
无,主播124,无,无,00:00,06:30
无,主播125,无,无,00:30,07:00
无,主播126,无,无,01:00,07:30
无,主播127,无,无,01:30,08:00
无,主播128,无,无,02:00,08:30
无,主播129,无,无,02:30,09:00
无,主播130,无,无,03:00,09:30
无,主播131,无,无,03:30,10:00
无,主播132,无,无,04:00,10:30
无,主播133,无,无,04:30,11:00
无,主播134,无,无,05:00,11:30
无,主播135,无,无,05:30,12:00
无,主播136,无,无,06:00,12:30
无,主播137,无,无,06:30,13:00
无,主播138,无,无,07:00,13:30
无,主播139,无,无,07:30,14:00
无,主播140,无,无,08:00,14:30
无,主播141,无,无,08:30,15:00
无,主播142,无,无,09:00,15:30
无,主播143,无,无,09:30,16:00
无,主播144,无,无,10:00,16:30
无,主播145,无,无,10:30,17:00
无,主播146,无,无,11:00,17:30
无,主播147,无,无,11:30,18:00
无,主播148,无,无,12:00,18:30
无,主播149,无,无,12:30,19:00
无,主播150,无,无,13:00,19:30
无,主播151,无,无,13:30,20:00
